epoch,lane,head,cum_root_ms,win_root_ms
1784444280,MPT,18498,7.2950,7.1478
1784444280,SALT,18738,4.0541,3.7647
1784444310,MPT,18613,7.2965,7.5391
1784444310,SALT,18854,4.0527,3.8284
1784444340,MPT,18727,7.2985,7.6316
1784444340,SALT,18971,4.0522,3.9821
1784444370,MPT,18841,7.3080,8.8684
1784444370,SALT,19087,4.0562,4.7017
1784444400,MPT,18956,7.3124,8.0348
1784444400,SALT,19203,4.0565,4.1078
1784444431,MPT,19070,7.3182,8.2807
1784444431,SALT,19319,4.0561,3.9853
1784444461,MPT,19184,7.3230,8.1228
1784444461,SALT,19435,4.0555,3.9707
1784444491,MPT,19298,7.3315,8.7719
1784444491,SALT,19551,4.0603,4.8612
1784444521,MPT,19413,7.3335,7.6609
1784444521,SALT,19667,4.0612,4.2147
1784444551,MPT,19527,7.3375,8.0175
1784444551,SALT,19783,4.0622,4.2216
1784444581,MPT,19642,7.3422,8.1391
1784444581,SALT,19899,4.0631,4.2197
1784444611,MPT,19756,7.3477,8.3070
1784444611,SALT,20016,4.0637,4.1578
1784444641,MPT,19870,7.3531,8.2807
1784444641,SALT,20132,4.0651,4.3216
1784444671,MPT,19984,7.3592,8.4298
1784444671,SALT,20248,4.0660,4.2147
1784444702,MPT,20098,7.3653,8.4261
1784444702,SALT,20364,4.0665,4.1500
1784444732,MPT,20213,7.3725,8.6404
1784444732,SALT,20480,4.0668,4.1233
1784444762,MPT,20327,7.3786,8.4474
1784444762,SALT,20596,4.0678,4.2422
1784444792,MPT,20441,7.3843,8.4035
1784444792,SALT,20712,4.0691,4.3043
1784444822,MPT,20555,7.3911,8.6140
1784444822,SALT,20828,4.0701,4.2509
1784444852,MPT,20669,7.3921,7.5739
1784444852,SALT,20944,4.0700,4.0427
1784444882,MPT,20784,7.3892,6.8684
1784444882,SALT,21061,4.0687,3.8328
1784444912,MPT,20899,7.3882,7.2087
1784444912,SALT,21177,4.0670,3.7707
1784444942,MPT,21014,7.3874,7.2261
1784444942,SALT,21293,4.0664,3.9431
1784444973,MPT,21129,7.3878,7.4609
1784444973,SALT,21410,4.0661,4.0282
1784445003,MPT,21243,7.3876,7.3509
1784445003,SALT,21526,4.0672,4.2526
1784445033,MPT,21358,7.3909,8.0087
1784445033,SALT,21642,4.0679,4.2009
1784445063,MPT,21472,7.3952,8.2018
1784445063,SALT,21758,4.0691,4.2983
1784445093,MPT,21586,7.4011,8.5175
1784445093,SALT,21874,4.0702,4.2681
1784445123,MPT,21700,7.4073,8.5702
1784445123,SALT,21990,4.0714,4.3060
1784445153,MPT,21814,7.4134,8.5702
1784445153,SALT,22106,4.0725,4.2888
