epoch,lane,head,cum_root_ms,win_root_ms
1784413764,MPT,8663,14.2834,16.8349
1784413764,JMT,8562,16.5605,12.1161
1784413768,MPT,8678,14.2874,16.7909
1784413768,JMT,8576,16.5528,12.1261
1784413795,MPT,8773,14.3084,16.2818
1784413795,JMT,8673,16.5013,11.9369
1784413798,MPT,8788,14.3044,15.6455
1784413799,JMT,8688,16.4875,11.4821
1784413825,MPT,8884,14.3025,13.8288
1784413825,JMT,8786,16.4173,9.9646
1784413829,MPT,8898,14.3010,14.0360
1784413829,JMT,8801,16.4067,10.1947
1784413855,MPT,8994,14.3179,15.5636
1784413855,JMT,8883,16.8139,52.7423
1784413859,MPT,9009,14.3193,15.8000
1784413859,JMT,8898,16.8030,52.7629
1784413885,MPT,9104,14.3294,15.2727
1784413885,JMT,8995,16.7401,10.8839
1784413889,MPT,9119,14.3308,15.2727
1784413889,JMT,9010,16.7305,10.9732
1784413915,MPT,9214,14.3453,15.6636
1784413915,JMT,9107,16.6732,11.3036
1784413919,MPT,9229,14.3481,15.7818
1784413919,JMT,9122,16.6651,11.4018
1784413945,MPT,9325,14.3549,15.1441
1784413945,JMT,9219,16.6148,11.8661
1784413949,MPT,9339,14.3551,14.9364
1784413949,JMT,9233,16.6072,11.8468
1784413975,MPT,9435,14.3618,14.9545
1784413975,JMT,9330,16.5605,12.0450
1784413979,MPT,9450,14.3659,15.2793
1784413979,JMT,9341,16.6177,17.5185
1784414005,MPT,9545,14.3908,16.8727
1784414005,JMT,9425,16.9345,53.6737
1784414009,MPT,9559,14.3936,16.7890
1784414009,JMT,9440,16.9263,46.0404
1784414036,MPT,9655,14.4082,15.9182
1784414036,JMT,9537,16.8759,11.9375
1784414039,MPT,9669,14.4106,15.8909
1784414040,JMT,9551,16.8690,12.0446
1784414066,MPT,9765,14.4216,15.6000
1784414066,JMT,9648,16.8218,12.1802
1784414070,MPT,9779,14.4234,15.5405
1784414070,JMT,9663,16.8138,12.0631
1784414096,MPT,9875,14.4387,15.9545
1784414096,JMT,9760,16.7669,12.0357
1784414100,MPT,9889,14.4406,15.9727
1784414100,JMT,9775,16.7596,12.0804
1784414126,MPT,9985,14.4540,15.8273
1784414126,JMT,9872,16.7102,11.7679
1784414130,MPT,9999,14.4564,15.8727
1784414130,JMT,9887,16.7034,11.8036
1784414156,MPT,10095,14.4747,16.3545
1784414156,JMT,9983,16.6623,12.4054
1784414160,MPT,10109,14.4780,16.4587
1784414160,JMT,9998,16.6553,12.3694
1784414186,MPT,10204,14.5150,18.2477
1784414186,JMT,10078,16.9841,50.8000
1784414190,MPT,10218,14.5177,18.2018
1784414190,JMT,10093,16.9785,50.9895
1784414216,MPT,10314,14.5326,16.1636
1784414216,JMT,10189,16.9374,12.6937
1784414220,MPT,10328,14.5357,16.2091
1784414220,JMT,10204,16.9307,12.5856
1784414246,MPT,10424,14.5527,16.4364
1784414246,JMT,10301,16.8914,12.7054
1784414250,MPT,10438,14.5554,16.4000
1784414250,JMT,10315,16.8860,12.7748
1784414276,MPT,10533,14.5743,16.6422
1784414277,JMT,10412,16.8437,12.4234
1784414280,MPT,10548,14.5769,16.6182
1784414281,JMT,10427,16.8372,12.3482
1784414307,MPT,10643,14.6016,17.2182
1784414307,JMT,10523,16.7992,12.6607
1784414311,MPT,10657,14.6045,17.2752
1784414311,JMT,10538,16.7941,12.7387
1784414337,MPT,10751,14.6443,18.8073
1784414337,JMT,10619,17.1284,53.6000
1784414341,MPT,10766,14.6478,18.8807
1784414341,JMT,10633,17.1233,53.6421
1784414367,MPT,10860,14.6921,19.4537
1784414367,JMT,10711,17.5360,64.5761
1784414371,MPT,10874,14.6956,19.4630
1784414371,JMT,10725,17.5294,64.4674
1784414397,MPT,10969,14.7188,17.3853
1784414397,JMT,10822,17.4854,12.6036
1784414401,MPT,10984,14.7169,16.8182
1784414401,JMT,10837,17.4745,12.2143
1784414427,MPT,11080,14.7144,14.2703
1784414427,JMT,10934,17.4146,10.5714
1784414431,MPT,11095,14.7151,14.5405
1784414431,JMT,10949,17.4047,10.6518
1784414457,MPT,11190,14.7198,15.2727
1784414457,JMT,11047,17.3454,10.6549
1784414461,MPT,11205,14.7222,15.4364
1784414461,JMT,11061,17.3374,10.7589
1784414487,MPT,11300,14.7313,15.8829
1784414487,JMT,11158,17.2883,11.6518
1784414491,MPT,11315,14.7330,15.8364
1784414491,JMT,11173,17.2821,11.8214
1784414518,MPT,11410,14.7502,16.7156
1784414518,JMT,11270,17.2339,11.7658
1784414521,MPT,11425,14.7516,16.6636
1784414522,JMT,11285,17.2275,11.7768
1784414548,MPT,11520,14.7675,16.5636
1784414548,JMT,11382,17.1804,11.7946
1784414552,MPT,11534,14.7690,16.5963
1784414552,JMT,11397,17.1734,11.7232
1784414578,MPT,11629,14.7864,16.7636
1784414578,JMT,11493,17.1302,12.0357
1784414582,MPT,11644,14.7881,16.7909
1784414582,JMT,11508,17.1243,12.0901
1784414608,MPT,11739,14.8053,16.8257
1784414608,JMT,11605,17.0867,12.5766
1784414612,MPT,11753,14.8089,17.0275
1784414612,JMT,11618,17.0855,13.0182
1784414638,MPT,11848,14.8472,19.3578
1784414638,JMT,11698,17.4566,63.6129
1784414642,MPT,11862,14.8494,19.2202
1784414642,JMT,11713,17.4504,62.0737
1784414668,MPT,11957,14.8627,16.5413
1784414668,JMT,11810,17.4086,12.4018
1784414672,MPT,11972,14.8656,16.6091
1784414672,JMT,11824,17.4024,12.3423
1784414698,MPT,12067,14.8851,17.3182
1784414698,JMT,11921,17.3602,12.2072
1784414702,MPT,12081,14.8883,17.3853
1784414702,JMT,11936,17.3539,12.2321
1784414728,MPT,12176,14.9111,17.7890
1784414728,JMT,12033,17.3142,12.4196
1784414732,MPT,12190,14.9144,17.7982
1784414732,JMT,12047,17.3088,12.4595
1784414758,MPT,12285,14.9360,17.7248
1784414759,JMT,12144,17.2726,12.7568
1784414762,MPT,12300,14.9389,17.6545
1784414763,JMT,12159,17.2672,12.7946
1784414789,MPT,12394,14.9735,19.2018
1784414789,JMT,12246,17.4123,34.0490
1784414793,MPT,12408,14.9822,19.9167
1784414793,JMT,12255,17.4709,43.2708
1784414819,MPT,12502,15.0066,18.7706
1784414819,JMT,12350,17.4553,22.5192
1784414823,MPT,12517,15.0105,18.2294
1784414823,JMT,12365,17.4501,15.1273
1784414849,MPT,12611,15.0362,18.4312
1784414849,JMT,12461,17.4128,12.7232
1784414853,MPT,12626,15.0398,18.4037
1784414853,JMT,12476,17.4077,12.6847
1784414879,MPT,12721,15.0645,18.3394
1784414879,JMT,12573,17.3731,12.9189
1784414883,MPT,12735,15.0689,18.4404
1784414883,JMT,12587,17.3676,12.9018
1784414909,MPT,12829,15.0939,18.5556
1784414909,JMT,12684,17.3330,12.7928
1784414913,MPT,12844,15.0983,18.5321
1784414913,JMT,12699,17.3275,12.7838
1784414939,MPT,12938,15.1196,18.1091
1784414939,JMT,12795,17.2959,13.0541
1784414943,MPT,12953,15.1234,18.0917
1784414943,JMT,12810,17.2911,13.1261
1784414969,MPT,13047,15.1611,20.1389
1784414969,JMT,12885,17.5679,56.2444
1784414973,MPT,13061,15.1651,20.1667
1784414973,JMT,12899,17.5625,56.1889
1784415000,MPT,13156,15.1839,17.9083
1784415000,JMT,12996,17.5228,12.2793
1784415003,MPT,13170,15.1837,17.4037
1784415004,JMT,13011,17.5142,11.9009
1784415030,MPT,13266,15.1875,15.6273
1784415030,JMT,13109,17.4633,10.6283
1784415034,MPT,13281,15.1880,15.7027
1784415034,JMT,13124,17.4555,10.6991
1784415060,MPT,13376,15.1995,16.6364
1784415060,JMT,13221,17.4121,11.4196
1784415064,MPT,13390,15.2007,16.7431
1784415064,JMT,13235,17.4066,11.6306
1784415090,MPT,13485,15.2145,17.0550
1784415090,JMT,13332,17.3708,12.4505
1784415094,MPT,13500,15.2167,17.1636
1784415094,JMT,13344,17.3676,12.6239
1784415120,MPT,13594,15.2350,17.7798
1784415120,JMT,13423,17.6081,52.3626
1784415124,MPT,13609,15.2375,17.8165
1784415124,JMT,13437,17.6024,51.2903
1784415150,MPT,13704,15.2478,16.8273
1784415150,JMT,13534,17.5664,12.5225
1784415154,MPT,13719,15.2495,16.7364
1784415154,JMT,13549,17.5610,12.5982
1784415180,MPT,13813,15.2663,17.5963
1784415180,JMT,13645,17.5245,12.4643
1784415184,MPT,13828,15.2699,17.8349
1784415184,JMT,13660,17.5192,12.4144
1784415210,MPT,13922,15.2895,18.2294
1784415210,JMT,13757,17.4854,12.6847
1784415214,MPT,13937,15.2932,18.2569
1784415214,JMT,13771,17.4810,12.7838
1784415241,MPT,14031,15.3133,18.3486
1784415241,JMT,13868,17.4503,13.0991
1784415244,MPT,14046,15.3157,18.1835
1784415245,JMT,13883,17.4454,13.0625
1784415271,MPT,14140,15.3339,17.9817
1784415271,JMT,13979,17.4128,12.7297
1784415275,MPT,14155,15.3371,18.0917
1784415275,JMT,13994,17.4082,12.7568
1784415301,MPT,14249,15.3590,18.6239
1784415301,JMT,14090,17.3786,13.0631
1784415305,MPT,14263,15.3634,18.7798
1784415305,JMT,14105,17.3742,13.0901
1784415331,MPT,14358,15.3911,19.5780
1784415331,JMT,14191,17.4979,34.1386
1784415335,MPT,14372,15.4006,20.3241
1784415335,JMT,14197,17.6384,58.1522
1784415361,MPT,14466,15.4279,20.3241
1784415361,JMT,14289,17.6872,45.1020
1784415365,MPT,14480,15.4326,19.6852
1784415365,JMT,14303,17.6834,23.6981
1784415391,MPT,14575,15.4549,19.0367
1784415391,JMT,14400,17.6528,13.2342
1784415395,MPT,14589,15.4579,18.8165
1784415395,JMT,14415,17.6479,13.1250
1784415421,MPT,14683,15.4786,18.6514
1784415421,JMT,14511,17.6188,13.2072
1784415425,MPT,14698,15.4818,18.6881
1784415425,JMT,14526,17.6148,13.3063
1784415451,MPT,14793,15.4962,17.8624
1784415451,JMT,14622,17.5897,13.7748
1784415455,MPT,14807,15.4988,17.7890
1784415455,JMT,14636,17.5854,13.7477
1784415482,MPT,14901,15.5203,18.7890
1784415482,JMT,14733,17.5579,13.3784
1784415485,MPT,14916,15.5234,18.8624
1784415486,JMT,14748,17.5536,13.3604
1784415512,MPT,15010,15.5481,19.3889
1784415512,JMT,14821,17.9210,78.7045
1784415516,MPT,15024,15.5501,19.2315
1784415516,JMT,14836,17.9164,78.7045
1784415542,MPT,15119,15.5689,18.4312
1784415542,JMT,14932,17.8918,14.0000
1784415546,MPT,15133,15.5729,18.7248
1784415546,JMT,14946,17.8888,14.1727
1784415572,MPT,15227,15.5965,19.4220
1784415572,JMT,15043,17.8647,14.2072
1784415576,MPT,15242,15.6000,19.3578
1784415576,JMT,15057,17.8611,14.1351
1784415602,MPT,15336,15.6181,18.6667
1784415602,JMT,15154,17.8308,13.2432
1784415606,MPT,15351,15.6200,18.4220
1784415606,JMT,15168,17.8250,12.9279
1784415632,MPT,15446,15.6196,15.8364
1784415632,JMT,15266,17.7806,10.9821
1784415636,MPT,15461,15.6203,15.6636
1784415636,JMT,15281,17.7735,10.8584
1784415662,MPT,15556,15.6300,17.0909
1784415662,JMT,15378,17.7349,11.5089
1784415666,MPT,15570,15.6309,17.1284
1784415666,JMT,15392,17.7295,11.6667
1784415692,MPT,15665,15.6476,18.1560
1784415692,JMT,15471,17.9661,56.2043
1784415696,MPT,15679,15.6493,18.2844
1784415696,JMT,15486,17.9608,55.8404
1784415723,MPT,15774,15.6596,17.3761
1784415723,JMT,15583,17.9282,12.6875
1784415726,MPT,15789,15.6620,17.4727
1784415727,JMT,15597,17.9232,12.6757
1784415753,MPT,15883,15.6791,18.5046
1784415753,JMT,15694,17.8898,12.5045
1784415757,MPT,15897,15.6810,18.4220
1784415757,JMT,15709,17.8847,12.5268
1784415783,MPT,15992,15.6949,18.0000
1784415783,JMT,15806,17.8507,12.3661
1784415787,MPT,16007,15.6976,18.1193
1784415787,JMT,15820,17.8458,12.3423
1784415813,MPT,16101,15.7136,18.4495
1784415813,JMT,15917,17.8108,12.1351
1784415817,MPT,16116,15.7149,18.2661
1784415817,JMT,15932,17.8059,12.1607
1784415843,MPT,16210,15.7337,18.7156
1784415843,JMT,16029,17.7732,12.4196
1784415847,MPT,16224,15.7367,18.9815
1784415847,JMT,16043,17.7686,12.4144
1784415873,MPT,16318,15.7669,20.7407
1784415873,JMT,16115,18.0598,71.4767
1784415877,MPT,16332,15.7690,20.6296
1784415877,JMT,16129,18.0544,71.3837
1784415903,MPT,16427,15.7868,18.7615
1784415903,JMT,16227,18.0178,11.9821
1784415907,MPT,16441,15.7893,18.8257
1784415907,JMT,16241,18.0135,12.1161
1784415933,MPT,16535,15.8094,19.2294
1784415934,JMT,16338,17.9796,12.3964
1784415937,MPT,16550,15.8116,19.1743
1784415937,JMT,16353,17.9745,12.3214
1784415964,MPT,16644,15.8297,18.9259
1784415964,JMT,16450,17.9416,12.4018
1784415968,MPT,16658,15.8327,19.0648
1784415968,JMT,16464,17.9370,12.4144
1784415994,MPT,16753,15.8517,19.2202
1784415994,JMT,16561,17.9057,12.5766
1784415998,MPT,16767,15.8541,19.1193
1784415998,JMT,16575,17.9015,12.6306
1784416024,MPT,16861,15.8743,19.3796
1784416024,JMT,16672,17.8742,13.1712
1784416028,MPT,16875,15.8772,19.4312
1784416028,JMT,16687,17.8701,13.2232
1784416054,MPT,16970,15.8957,19.2018
1784416054,JMT,16781,17.8456,13.4771
1784416058,MPT,16984,15.9018,19.7500
1784416058,JMT,16784,17.9855,37.8351
1784416084,MPT,17078,15.9277,20.9630
1784416084,JMT,16863,18.1100,72.2195
1784416088,MPT,17092,15.9300,20.3704
1784416088,JMT,16877,18.1060,39.8602
1784416114,MPT,17186,15.9614,21.2870
1784416114,JMT,16943,18.4173,83.1875
1784416118,MPT,17200,15.9644,21.4074
1784416118,JMT,16957,18.4125,82.2840
1784416144,MPT,17294,15.9831,19.4352
1784416144,JMT,17054,18.3868,13.7297
1784416148,MPT,17308,15.9853,19.3056
1784416148,JMT,17068,18.3831,13.8364
1784416175,MPT,17403,16.0030,19.1560
